INFICON IRwin SX
S/N: 92003059
Software version: 3.07.70
Selected gas: CH4
Last calibration Universal (low range): (500ppm  CH4): 18 Jul 22 15:52
Last calibration Universal (high range): (2.2% 100% CH4): 20 Oct 20 15:16
Last calibration Universal CO2: (20.0% CO2): 20 Oct 20 15:15
Last calibration Ex (2.2% CH4): 20 Oct 20 15:14
Last function test Universal (low range) 10 ppm: 20 Oct 20 15:18
Last function test Self Test: 20 Oct 20 15:20
Last function test Ex : 20 Oct 20 15:19
IRwin App version: v4.11

Date,Time,GPS Status,Sat.,Lat,Long,Alt,Mode,CH4,,CO2 %,O2 %,H2S ppm,CO ppm,C2H6-comp %
2022-07-18,19:35:32,GPS FIX3D,3,42.4052383,-83.5636985,302.5,UNIVERSAL,0,ppm,-.-,-.-,-.-,-.-,-.-
2022-07-18,19:35:33,GPS FIX3D,3,42.4052440,-83.5637033,302.6,UNIVERSAL,0,ppm,-.-,-.-,-.-,-.-,-.-
2022-07-18,19:35:34,GPS FIX3D,3,42.4052445,-83.5636965,302.6,UNIVERSAL,0,ppm,-.-,-.-,-.-,-.-,-.-
2022-07-18,19:35:35,GPS FIX3D,3,42.4052421,-83.5636906,302.7,UNIVERSAL,0,ppm,-.-,-.-,-.-,-.-,-.-
2022-07-18,19:35:36,GPS FIX3D,3,42.4052401,-83.5636815,302.4,UNIVERSAL,0,ppm,-.-,-.-,-.-,-.-,-.-
2022-07-18,19:35:37,GPS FIX3D,3,42.4052461,-83.5636775,302.2,UNIVERSAL,0,ppm,-.-,-.-,-.-,-.-,-.-
2022-07-18,19:35:38,GPS FIX3D,3,42.4052455,-83.5636730,302.3,UNIVERSAL,0,ppm,-.-,-.-,-.-,-.-,-.-
2022-07-18,19:35:39,GPS FIX3D,3,42.4052360,-83.5636593,302.2,UNIVERSAL,0,ppm,-.-,-.-,-.-,-.-,-.-
2022-07-18,19:35:40,GPS FIX3D,3,42.4052308,-83.5636483,302.1,UNIVERSAL,0,ppm,-.-,-.-,-.-,-.-,-.-
2022-07-18,19:35:41,GPS FIX3D,3,42.4052290,-83.5636385,302.0,UNIVERSAL,0,ppm,-.-,-.-,-.-,-.-,-.-
2022-07-18,19:35:42,GPS FIX3D,3,42.4052286,-83.5636281,302.1,UNIVERSAL,0,ppm,-.-,-.-,-.-,-.-,-.-
2022-07-18,19:35:43,GPS FIX3D,3,42.4052281,-83.5636291,302.2,UNIVERSAL,0,ppm,-.-,-.-,-.-,-.-,-.-
2022-07-18,19:35:44,GPS FIX3D,3,42.4052240,-83.5636223,302.1,UNIVERSAL,0,ppm,-.-,-.-,-.-,-.-,-.-
2022-07-18,19:35:45,GPS FIX3D,3,42.4052330,-83.5636281,302.0,UNIVERSAL,0,ppm,-.-,-.-,-.-,-.-,-.-
2022-07-18,19:35:46,GPS FIX3D,3,42.4052361,-83.5636220,301.5,UNIVERSAL,0,ppm,-.-,-.-,-.-,-.-,-.-
2022-07-18,19:35:47,GPS FIX3D,3,42.4052426,-83.5636311,301.1,UNIVERSAL,0,ppm,-.-,-.-,-.-,-.-,-.-
2022-07-18,19:35:48,GPS FIX3D,3,42.4052441,-83.5636340,300.7,UNIVERSAL,0,ppm,-.-,-.-,-.-,-.-,-.-
2022-07-18,19:35:49,GPS FIX3D,3,42.4052443,-83.5636325,300.3,UNIVERSAL,0,ppm,-.-,-.-,-.-,-.-,-.-
2022-07-18,19:35:50,GPS FIX3D,3,42.4052496,-83.5636358,300.2,UNIVERSAL,0,ppm,-.-,-.-,-.-,-.-,-.-
2022-07-18,19:35:51,GPS FIX3D,3,42.4052501,-83.5636425,299.9,UNIVERSAL,0,ppm,-.-,-.-,-.-,-.-,-.-
2022-07-18,19:35:52,GPS FIX3D,3,42.4052525,-83.5636526,299.4,UNIVERSAL,0,ppm,-.-,-.-,-.-,-.-,-.-
