INFICON IRwin SX
S/N: 92003117
Software version: 4.02.01
Selected gas: CH4
Last calibration Universal (low range): (500ppm  CH4): 18 Jul 22 08:30
Last calibration Universal (high range): (2.5% 100% CH4): 22 Oct 21 19:26
Last calibration Universal CO2: (20.0% CO2): 22 Oct 21 19:25
Last calibration Ex (2.5% CH4): 22 Oct 21 19:24
Last function test Universal (low range) 10 ppm: 22 Oct 21 19:28
Last function test Universal (high range) 100% CH4: 22 Oct 21 19:29
Last function test Ex : 22 Oct 21 19:28
IRwin App version: v4.11

Date,Time,GPS Status,Sat.,Lat,Long,Alt,Mode,CH4,,CO2 %,O2 %,H2S ppm,CO ppm,C2H6-comp %
2022-07-18,13:07:19,GPS FIX3D,6,42.3993873,-83.5534091,315.5,UNIVERSAL,0,ppm,-.-,-.-,-.-,-.-,-.-
2022-07-18,13:07:22,GPS FIX3D,6,42.3993993,-83.5534120,314.3,UNIVERSAL,0,ppm,-.-,-.-,-.-,-.-,-.-
2022-07-18,13:07:25,GPS FIX3D,6,42.3994101,-83.5534343,314.3,UNIVERSAL,0,ppm,-.-,-.-,-.-,-.-,-.-
2022-07-18,13:07:28,GPS FIX3D,6,42.3994083,-83.5534331,313.4,UNIVERSAL,0,ppm,-.-,-.-,-.-,-.-,-.-
2022-07-18,13:07:31,GPS FIX3D,6,42.3994133,-83.5534415,313.4,UNIVERSAL,0,ppm,-.-,-.-,-.-,-.-,-.-
2022-07-18,13:07:34,GPS FIX3D,6,42.3994129,-83.5534576,313.1,UNIVERSAL,2,ppm,-.-,-.-,-.-,-.-,-.-
2022-07-18,13:07:37,GPS FIX3D,6,42.3994026,-83.5534200,312.3,UNIVERSAL,0,ppm,-.-,-.-,-.-,-.-,-.-
2022-07-18,13:07:40,GPS FIX3D,6,42.3993968,-83.5533836,311.1,UNIVERSAL,0,ppm,-.-,-.-,-.-,-.-,-.-
2022-07-18,13:07:43,GPS FIX3D,6,42.3993993,-83.5533411,310.2,UNIVERSAL,0,ppm,-.-,-.-,-.-,-.-,-.-
2022-07-18,13:07:46,GPS FIX3D,6,42.3994069,-83.5533041,309.7,UNIVERSAL,0,ppm,-.-,-.-,-.-,-.-,-.-
2022-07-18,13:07:49,GPS FIX3D,6,42.3994128,-83.5532988,309.2,UNIVERSAL,0,ppm,-.-,-.-,-.-,-.-,-.-
2022-07-18,13:07:52,GPS FIX3D,6,42.3994154,-83.5532963,308.4,UNIVERSAL,0,ppm,-.-,-.-,-.-,-.-,-.-
2022-07-18,13:07:55,GPS FIX3D,6,42.3994161,-83.5532890,308.1,UNIVERSAL,0,ppm,-.-,-.-,-.-,-.-,-.-
2022-07-18,13:07:58,GPS FIX3D,6,42.3994141,-83.5532838,308.7,UNIVERSAL,0,ppm,-.-,-.-,-.-,-.-,-.-
2022-07-18,13:08:01,GPS FIX3D,6,42.3994071,-83.5532803,309.5,UNIVERSAL,0,ppm,-.-,-.-,-.-,-.-,-.-
2022-07-18,13:08:04,GPS FIX3D,6,42.3994078,-83.5532876,310.3,UNIVERSAL,0,ppm,-.-,-.-,-.-,-.-,-.-
2022-07-18,13:08:07,GPS FIX3D,6,42.3994026,-83.5532821,310.2,UNIVERSAL,0,ppm,-.-,-.-,-.-,-.-,-.-
2022-07-18,13:08:10,GPS FIX3D,6,42.3994036,-83.5532870,310.4,UNIVERSAL,0,ppm,-.-,-.-,-.-,-.-,-.-
2022-07-18,13:08:13,GPS FIX3D,6,42.3994034,-83.5532706,310.9,UNIVERSAL,0,ppm,-.-,-.-,-.-,-.-,-.-
2022-07-18,13:08:16,GPS FIX3D,6,42.3994114,-83.5532375,311.4,UNIVERSAL,0,ppm,-.-,-.-,-.-,-.-,-.-
2022-07-18,13:08:19,GPS FIX3D,6,42.3994369,-83.5532161,312.1,UNIVERSAL,0,ppm,-.-,-.-,-.-,-.-,-.-
2022-07-18,13:08:22,GPS FIX3D,6,42.3994486,-83.5531790,312.9,UNIVERSAL,0,ppm,-.-,-.-,-.-,-.-,-.-
2022-07-18,13:08:25,GPS FIX3D,6,42.3994593,-83.5531263,313.2,UNIVERSAL,5,ppm,-.-,-.-,-.-,-.-,-.-
2022-07-18,13:08:28,GPS FIX3D,6,42.3994611,-83.5530806,313.3,UNIVERSAL,19,ppm,-.-,-.-,-.-,-.-,-.-
2022-07-18,13:08:31,GPS FIX3D,6,42.3994676,-83.5530170,313.4,UNIVERSAL,6,ppm,-.-,-.-,-.-,-.-,-.-
2022-07-18,13:08:34,GPS FIX3D,6,42.3994719,-83.5529701,313.8,UNIVERSAL,29,ppm,-.-,-.-,-.-,-.-,-.-
2022-07-18,13:08:37,GPS FIX3D,6,42.3994976,-83.5529353,313.8,UNIVERSAL,18,ppm,-.-,-.-,-.-,-.-,-.-
2022-07-18,13:08:40,GPS FIX3D,6,42.3995323,-83.5529260,313.0,UNIVERSAL,0,ppm,-.-,-.-,-.-,-.-,-.-
2022-07-18,13:08:43,GPS FIX3D,6,42.3995648,-83.5529171,311.5,UNIVERSAL,0,ppm,-.-,-.-,-.-,-.-,-.-
2022-07-18,13:08:46,GPS FIX3D,6,42.3995989,-83.5529093,311.3,UNIVERSAL,0,ppm,-.-,-.-,-.-,-.-,-.-
2022-07-18,13:08:49,GPS FIX3D,6,42.3996298,-83.5529013,311.6,UNIVERSAL,0,ppm,-.-,-.-,-.-,-.-,-.-
2022-07-18,13:08:52,GPS FIX3D,6,42.3996609,-83.5528813,311.8,UNIVERSAL,4,ppm,-.-,-.-,-.-,-.-,-.-
2022-07-18,13:08:55,GPS FIX3D,6,42.3997038,-83.5528725,312.1,UNIVERSAL,3,ppm,-.-,-.-,-.-,-.-,-.-
2022-07-18,13:08:58,GPS FIX3D,6,42.3997469,-83.5528638,312.3,UNIVERSAL,0,ppm,-.-,-.-,-.-,-.-,-.-
2022-07-18,13:09:01,GPS FIX3D,6,42.3997919,-83.5528623,313.0,UNIVERSAL,0,ppm,-.-,-.-,-.-,-.-,-.-
