INFICON IRwin SX
S/N: 92004355
Software version: 4.03.02
Selected gas: CH4
Last calibration Universal (low range): (500ppm  CH4): 18 Jul 22 14:33
Last calibration Universal (high range): (2.2% 100% CH4): 01 Oct 21 11:50
Last calibration Universal CO2: (20.0% CO2): 01 Oct 21 11:49
Last calibration Ex (2.2% CH4): 01 Oct 21 11:48
Last function test Universal (low range) 10ppm: 01 Oct 21 11:52
Last function test Universal (high range) 100% CH4: 01 Oct 21 11:53
Last function test Ex : 01 Oct 21 11:53
GPS : 3.01 / NW1
IRwin App version: v4.11

Date,Time,GPS Status,Sat.,Lat,Long,Alt,Mode,CH4,,CO2 %,O2 %,H2S ppm,CO ppm,C2H6-comp %
2022-07-18,15:10:53,GPS FIX3D,12,42.3962941,-83.5630836,274.0,UNIVERSAL,0,ppm,-.-,-.-,-.-,-.-,-.-
2022-07-18,15:10:54,GPS FIX3D,11,42.3962941,-83.5630836,274.0,UNIVERSAL,0,ppm,-.-,-.-,-.-,-.-,-.-
2022-07-18,15:10:55,GPS FIX3D,12,42.3962941,-83.5630836,274.0,UNIVERSAL,0,ppm,-.-,-.-,-.-,-.-,-.-
2022-07-18,15:10:56,GPS FIX3D,11,42.3962941,-83.5630836,274.0,UNIVERSAL,0,ppm,-.-,-.-,-.-,-.-,-.-
2022-07-18,15:10:57,GPS FIX3D,8,42.3962941,-83.5630836,274.0,UNIVERSAL,0,ppm,-.-,-.-,-.-,-.-,-.-
2022-07-18,15:10:58,GPS FIX3D,8,42.3962941,-83.5630836,274.0,UNIVERSAL,0,ppm,-.-,-.-,-.-,-.-,-.-
2022-07-18,15:10:59,GPS FIX3D,9,42.3962941,-83.5630836,274.0,UNIVERSAL,0,ppm,-.-,-.-,-.-,-.-,-.-
2022-07-18,15:11:00,GPS FIX3D,12,42.3962941,-83.5630836,274.0,UNIVERSAL,0,ppm,-.-,-.-,-.-,-.-,-.-
2022-07-18,15:11:01,GPS FIX3D,12,42.3962941,-83.5630836,274.0,UNIVERSAL,0,ppm,-.-,-.-,-.-,-.-,-.-
2022-07-18,15:11:02,GPS FIX3D,13,42.3962941,-83.5630836,274.0,UNIVERSAL,0,ppm,-.-,-.-,-.-,-.-,-.-
2022-07-18,15:11:03,GPS FIX3D,13,42.3962941,-83.5630836,274.0,UNIVERSAL,0,ppm,-.-,-.-,-.-,-.-,-.-
2022-07-18,15:11:04,GPS FIX3D,14,42.3962941,-83.5630836,274.0,UNIVERSAL,0,ppm,-.-,-.-,-.-,-.-,-.-
2022-07-18,15:11:05,GPS FIX3D,14,42.3962941,-83.5630836,274.0,UNIVERSAL,0,ppm,-.-,-.-,-.-,-.-,-.-
2022-07-18,15:11:06,GPS FIX3D,13,42.3962941,-83.5630836,274.0,UNIVERSAL,0,ppm,-.-,-.-,-.-,-.-,-.-
2022-07-18,15:11:07,GPS FIX3D,13,42.3962941,-83.5630836,274.0,UNIVERSAL,0,ppm,-.-,-.-,-.-,-.-,-.-
2022-07-18,15:11:08,GPS FIX3D,14,42.3962589,-83.5629708,274.0,UNIVERSAL,0,ppm,-.-,-.-,-.-,-.-,-.-
2022-07-18,15:11:09,GPS FIX3D,14,42.3962491,-83.5629715,266.8,UNIVERSAL,0,ppm,-.-,-.-,-.-,-.-,-.-
2022-07-18,15:11:10,GPS FIX3D,14,42.3962491,-83.5629715,266.0,UNIVERSAL,0,ppm,-.-,-.-,-.-,-.-,-.-
2022-07-18,15:11:11,GPS FIX3D,14,42.3962491,-83.5629715,266.0,UNIVERSAL,0,ppm,-.-,-.-,-.-,-.-,-.-
2022-07-18,15:11:12,GPS FIX3D,14,42.3962491,-83.5629715,266.0,UNIVERSAL,0,ppm,-.-,-.-,-.-,-.-,-.-
2022-07-18,15:11:13,GPS FIX3D,14,42.3962491,-83.5629715,266.0,UNIVERSAL,0,ppm,-.-,-.-,-.-,-.-,-.-
2022-07-18,15:11:14,GPS FIX3D,13,42.3962491,-83.5629715,266.0,UNIVERSAL,0,ppm,-.-,-.-,-.-,-.-,-.-
2022-07-18,15:11:15,GPS FIX3D,14,42.3962491,-83.5629715,266.0,UNIVERSAL,0,ppm,-.-,-.-,-.-,-.-,-.-
2022-07-18,15:11:16,GPS FIX3D,14,42.3962491,-83.5629715,266.0,UNIVERSAL,0,ppm,-.-,-.-,-.-,-.-,-.-
2022-07-18,15:11:17,GPS FIX3D,14,42.3962491,-83.5629715,266.0,UNIVERSAL,0,ppm,-.-,-.-,-.-,-.-,-.-
2022-07-18,15:11:18,GPS FIX3D,14,42.3962491,-83.5629715,266.0,UNIVERSAL,0,ppm,-.-,-.-,-.-,-.-,-.-
2022-07-18,15:11:19,GPS FIX3D,13,42.3962491,-83.5629715,266.0,UNIVERSAL,0,ppm,-.-,-.-,-.-,-.-,-.-
2022-07-18,15:11:20,GPS FIX3D,12,42.3962491,-83.5629715,266.0,UNIVERSAL,2,ppm,-.-,-.-,-.-,-.-,-.-
2022-07-18,15:11:21,GPS FIX3D,12,42.3962491,-83.5629715,266.0,UNIVERSAL,3,ppm,-.-,-.-,-.-,-.-,-.-
2022-07-18,15:11:22,GPS FIX3D,12,42.3962491,-83.5629715,266.0,UNIVERSAL,3,ppm,-.-,-.-,-.-,-.-,-.-
2022-07-18,15:11:23,GPS FIX3D,12,42.3962491,-83.5629715,266.0,UNIVERSAL,0,ppm,-.-,-.-,-.-,-.-,-.-
2022-07-18,15:11:24,GPS FIX3D,13,42.3962491,-83.5629715,266.0,UNIVERSAL,0,ppm,-.-,-.-,-.-,-.-,-.-
2022-07-18,15:11:25,GPS FIX3D,13,42.3962491,-83.5629715,266.0,UNIVERSAL,0,ppm,-.-,-.-,-.-,-.-,-.-
2022-07-18,15:11:26,GPS FIX3D,13,42.3961859,-83.5628813,266.0,UNIVERSAL,0,ppm,-.-,-.-,-.-,-.-,-.-
2022-07-18,15:11:27,GPS FIX3D,13,42.3961843,-83.5628726,268.2,UNIVERSAL,0,ppm,-.-,-.-,-.-,-.-,-.-
2022-07-18,15:11:28,GPS FIX3D,13,42.3961843,-83.5628726,268.0,UNIVERSAL,0,ppm,-.-,-.-,-.-,-.-,-.-
2022-07-18,15:11:29,GPS FIX3D,13,42.3961843,-83.5628726,268.0,UNIVERSAL,0,ppm,-.-,-.-,-.-,-.-,-.-
2022-07-18,15:11:30,GPS FIX3D,13,42.3961843,-83.5628726,268.0,UNIVERSAL,0,ppm,-.-,-.-,-.-,-.-,-.-
2022-07-18,15:11:31,GPS FIX3D,13,42.3961843,-83.5628726,268.0,UNIVERSAL,0,ppm,-.-,-.-,-.-,-.-,-.-
2022-07-18,15:11:32,GPS FIX3D,13,42.3961843,-83.5628726,268.0,UNIVERSAL,0,ppm,-.-,-.-,-.-,-.-,-.-
2022-07-18,15:11:33,GPS FIX3D,13,42.3961843,-83.5628726,268.0,UNIVERSAL,0,ppm,-.-,-.-,-.-,-.-,-.-
2022-07-18,15:11:34,GPS FIX3D,13,42.3961843,-83.5628726,268.0,UNIVERSAL,0,ppm,-.-,-.-,-.-,-.-,-.-
2022-07-18,15:11:35,GPS FIX3D,13,42.3961843,-83.5628726,268.0,UNIVERSAL,0,ppm,-.-,-.-,-.-,-.-,-.-
2022-07-18,15:11:36,GPS FIX3D,13,42.3961843,-83.5628726,268.0,UNIVERSAL,0,ppm,-.-,-.-,-.-,-.-,-.-
2022-07-18,15:11:37,GPS FIX3D,13,42.3961509,-83.5627366,268.0,UNIVERSAL,0,ppm,-.-,-.-,-.-,-.-,-.-
2022-07-18,15:11:38,GPS FIX3D,13,42.3961453,-83.5627178,270.1,UNIVERSAL,0,ppm,-.-,-.-,-.-,-.-,-.-
2022-07-18,15:11:39,GPS FIX3D,13,42.3961453,-83.5627178,269.8,UNIVERSAL,0,ppm,-.-,-.-,-.-,-.-,-.-
2022-07-18,15:11:40,GPS FIX3D,13,42.3961453,-83.5627178,269.8,UNIVERSAL,0,ppm,-.-,-.-,-.-,-.-,-.-
2022-07-18,15:11:41,GPS FIX3D,13,42.3961453,-83.5627178,269.8,UNIVERSAL,0,ppm,-.-,-.-,-.-,-.-,-.-
2022-07-18,15:11:42,GPS FIX3D,14,42.3961453,-83.5627178,269.8,UNIVERSAL,0,ppm,-.-,-.-,-.-,-.-,-.-
2022-07-18,15:11:43,GPS FIX3D,14,42.3961453,-83.5627178,269.8,UNIVERSAL,0,ppm,-.-,-.-,-.-,-.-,-.-
2022-07-18,15:11:44,GPS FIX3D,14,42.3961453,-83.5627178,269.8,UNIVERSAL,0,ppm,-.-,-.-,-.-,-.-,-.-
2022-07-18,15:11:45,GPS FIX3D,13,42.3961453,-83.5627178,269.8,UNIVERSAL,0,ppm,-.-,-.-,-.-,-.-,-.-
2022-07-18,15:11:46,GPS FIX3D,13,42.3961453,-83.5627178,269.8,UNIVERSAL,0,ppm,-.-,-.-,-.-,-.-,-.-
