Timestamp(ms),timestamp,FlightMode,drone_sn,mac_address,GPS_Date,GPS_Time,Latitude,Longitude,SenseLat,SenseLong,MethaneOffset,Velocity,Vertical Cmd,avgDisToGnd_m,droneAltitude,CO2,CH4,Gas State,Waypoint
1656010650309,44735.789934,2,0670128622,88:6B:0F:A6:E6:2F,0,0,42.401760101,-83.550437927,42.40177536,-83.550354004,8.5,0.11728131026,1.5,7.8543605804,257.12643433,0,0,2,0
1656010650644,44735.789938,2,0670128622,88:6B:0F:A6:E6:2F,0,0,42.401760101,-83.550437927,42.40177536,-83.550361633,8.5,0.10839617252,1.5,7.854871273,256.91744995,0,0,2,0
1656010650982,44735.789942,2,0670128622,88:6B:0F:A6:E6:2F,0,0,42.401760101,-83.550437927,42.40177536,-83.550369263,8.5,0.10960912704,1.5,7.8581786156,257.05981445,0,0,2,0
1656010651332,44735.789946,2,0670128622,88:6B:0F:A6:E6:2F,0,0,42.401760101,-83.550437927,42.401771545,-83.550376892,8.5,0.059426024556,1.5,7.8422327042,256.66503906,0,0,2,0
1656010651654,44735.78995,2,0670128622,88:6B:0F:A6:E6:2F,0,0,42.401760101,-83.550437927,42.401771545,-83.550384521,8.5,0.085500910878,1.5,7.897901535,257.50201416,0,0,2,0
1656010661312,44735.790061,2,0670128622,88:6B:0F:A6:E6:2F,0,0,42.401622772,-83.550445557,42.401756287,-83.550437927,8.5,0.11526564509,-1.5,7.6598958969,255.85926819,0,0,2,1
1656010661651,44735.790065,2,0670128622,88:6B:0F:A6:E6:2F,0,0,42.401622772,-83.550445557,42.401756287,-83.550437927,8.5,0.1128898859,-1.5,7.1773710251,255.67549133,0,0,2,1
1656010661986,44735.790069,2,0670128622,88:6B:0F:A6:E6:2F,0,0,42.401622772,-83.550445557,42.401752472,-83.550437927,8.5,0.11593075842,-0.56250780821,6.5201430321,255.31497192,0,0,2,1
1656010662322,44735.790073,2,0670128622,88:6B:0F:A6:E6:2F,0,0,42.401622772,-83.550445557,42.401748657,-83.550437927,8.5,0.13162320852,-0.44487929344,6.3370246887,254.78881836,0,0,2,1
1656010662644,44735.790077,2,0670128622,88:6B:0F:A6:E6:2F,0,0,42.401622772,-83.550445557,42.401741028,-83.550430298,8.5,0.34377831221,-0.27848142385,6.2130351067,254.57272339,0,0,2,1
1656010662993,44735.790081,2,0670128622,88:6B:0F:A6:E6:2F,0,0,42.401626587,-83.550445557,42.401733398,-83.550430298,8.5,1.173232913,0.22970935702,5.9130969048,254.73731995,0,0,2,1
1656010663324,44735.790085,2,0670128622,88:6B:0F:A6:E6:2F,0,0,42.401630402,-83.550445557,42.401725769,-83.550430298,8.5,1.9606558084,0.32852104306,5.8048830032,254.42526245,0,0,2,1
1656010663648,44735.790089,2,0670128622,88:6B:0F:A6:E6:2F,0,0,42.401638031,-83.550445557,42.401714325,-83.550430298,8.5,2.7997357845,0.42485800385,5.7327013016,254.43940735,0,0,2,1
1656010663986,44735.790092,2,0670128622,88:6B:0F:A6:E6:2F,0,0,42.401649475,-83.550445557,42.401706696,-83.550430298,8.5,3.3763136864,0.57544082403,5.544069767,254.66159058,0,0,2,1
1656010664338,44735.790097,2,0670128622,88:6B:0F:A6:E6:2F,0,0,42.401660919,-83.550445557,42.401699066,-83.550430298,8.5,3.6337575912,0.67673033476,5.5479822159,254.81610107,0,0,2,1
1656010664646,44735.7901,2,0670128622,88:6B:0F:A6:E6:2F,0,0,42.401672363,-83.550445557,42.401691437,-83.550430298,8.5,3.7266557217,0.56421095133,5.6101341248,254.16368103,0,0,2,1
1656010664996,44735.790104,2,0670128622,88:6B:0F:A6:E6:2F,0,0,42.401683807,-83.550445557,42.401683807,-83.550430298,8.5,3.801623106,0.2478081286,5.7941565514,254.77267456,0,0,2,1
1656010665333,44735.790108,2,0670128622,88:6B:0F:A6:E6:2F,0,0,42.401695251,-83.550453186,42.401676178,-83.550430298,8.5,3.7651464939,0.08897190541,5.9141802788,254.77874756,0,0,2,1
1656010665668,44735.790112,2,0670128622,88:6B:0F:A6:E6:2F,0,0,42.401706696,-83.550453186,42.401668549,-83.550437927,8.5,3.7087366581,-0.060900293291,6.0177326202,255.02919006,0,0,2,1
1656010665991,44735.790116,2,0670128622,88:6B:0F:A6:E6:2F,0,0,42.40171814,-83.550453186,42.401657104,-83.550437927,8.5,3.6915962696,-0.10914568603,6.0628094673,254.89486694,0,0,2,1
1656010666312,44735.790119,2,0670128622,88:6B:0F:A6:E6:2F,0,0,42.401725769,-83.550453186,42.401649475,-83.550437927,8.5,3.6931629181,-0.03618882224,6.0311231613,255.04333496,0,0,2,1
1656010666661,44735.790123,2,0670128622,88:6B:0F:A6:E6:2F,0,0,42.401737213,-83.550453186,42.401641846,-83.550437927,8.5,3.6875686646,0.013312384486,5.998360157,254.48887634,0,0,2,1
1656010666983,44735.790127,2,0670128622,88:6B:0F:A6:E6:2F,0,0,42.401748657,-83.550445557,42.401634216,-83.550437927,8.5,3.6731619835,0.081598348916,5.9430408478,255.34022522,0,0,2,1
1656010667334,44735.790131,2,0670128622,88:6B:0F:A6:E6:2F,0,0,42.401760101,-83.550445557,42.401626587,-83.550437927,8.5,3.6998207569,-0.063816234469,6.0245451927,255.17662048,0,0,2,1
1656010667654,44735.790135,2,0670128622,88:6B:0F:A6:E6:2F,0,0,42.401771545,-83.550445557,42.401622772,-83.550445557,8.5,3.7348239422,-0.17025525868,6.0974121094,255.33213806,0,0,2,1
1656010667991,44735.790139,2,0670128622,88:6B:0F:A6:E6:2F,0,0,42.401779175,-83.550445557,42.401618958,-83.550445557,8.5,3.7299237251,-0.18780605495,6.1201767921,255.14733887,0,0,2,1
1656010668327,44735.790143,2,0670128622,88:6B:0F:A6:E6:2F,0,0,42.401790619,-83.550445557,42.401618958,-83.550445557,8.5,3.7308969498,-0.13744425774,6.0967931747,255.23620605,0,0,2,1
1656010668663,44735.790147,2,0670128622,88:6B:0F:A6:E6:2F,0,0,42.401802063,-83.550445557,42.401622772,-83.550453186,8.5,3.6879119873,-0.031583756208,6.0347557068,255.21398926,0,0,2,1
1656010668986,44735.79015,2,0670128622,88:6B:0F:A6:E6:2F,0,0,42.401813507,-83.550445557,42.401622772,-83.550453186,8.5,3.6237637997,0.17887853086,5.9086055756,255.08068848,0,0,2,1
1656010669336,44735.790154,2,0670128622,88:6B:0F:A6:E6:2F,0,0,42.401824951,-83.550445557,42.401622772,-83.550453186,8.5,3.6312975883,0.18380752206,5.8830952644,255.1927948,0,0,2,1
1656010669657,44735.790158,2,0670128622,88:6B:0F:A6:E6:2F,0,0,42.401832581,-83.550445557,42.401622772,-83.550445557,8.5,3.6542959213,0.21167938411,5.863260746,255.80776978,0,0,2,1
1656010669981,44735.790162,2,0670128622,88:6B:0F:A6:E6:2F,0,0,42.401844025,-83.550445557,42.401622772,-83.550445557,8.5,3.6803557873,0.24267634749,5.8417124748,254.83630371,0,0,2,1
1656010670330,44735.790166,2,0670128622,88:6B:0F:A6:E6:2F,0,0,42.401855469,-83.550445557,42.401622772,-83.550445557,8.5,3.6687867641,0.28445130587,5.8160362244,255.2008667,0,0,2,1
1656010670666,44735.79017,2,0670128622,88:6B:0F:A6:E6:2F,0,0,42.401866913,-83.550445557,42.401622772,-83.550445557,8.5,3.6821913719,0.26740169525,5.8207015991,255.44624329,0,0,2,1
1656010671015,44735.790174,2,0670128622,88:6B:0F:A6:E6:2F,0,0,42.401878357,-83.550445557,42.401622772,-83.550445557,8.5,3.6568579674,0.3716122508,5.7646389008,256.15411377,0,0,2,1
