Timestamp(ms),timestamp,FlightMode,drone_sn,mac_address,GPS_Date,GPS_Time,Latitude,Longitude,SenseLat,SenseLong,MethaneOffset,Velocity,Vertical Cmd,avgDisToGnd_m,droneAltitude,CO2,CH4,Gas State,Waypoint
1656089660568,44736.704405,1,0670128622,88:6B:0F:A6:E6:2F,0,0,42.406394958,-83.564552307,42.406394958,-83.564559937,7.1500000954,0.034332688898,1.5,4.8165154457,241.33966064,0,0,2,-1
1656089660933,44736.704409,1,0670128622,88:6B:0F:A6:E6:2F,0,0,42.406394958,-83.564552307,42.406394958,-83.564559937,7.1500000954,0.038084886968,1.5,4.8775682449,241.92932129,0,0,2,-1
1656089661242,44736.704413,1,0670128622,88:6B:0F:A6:E6:2F,0,0,42.406394958,-83.564552307,42.406394958,-83.564559937,7.1500000954,0.07699521631,1.5,4.9425530434,241.98799133,0,0,2,-1
1656089670246,44736.704517,1,0670128622,88:6B:0F:A6:E6:2F,0,0,42.406391144,-83.564575195,42.406394958,-83.564552307,7.1500000954,0.083416648209,-1.5,7.7977972031,244.47666931,0,0,2,-1
1656089670579,44736.704521,1,0670128622,88:6B:0F:A6:E6:2F,0,0,42.406391144,-83.564575195,42.406394958,-83.564552307,7.1500000954,0.067184254527,-1.5,7.6343874931,243.15708923,0,0,2,-1
1656089670914,44736.704524,1,0670128622,88:6B:0F:A6:E6:2F,0,0,42.406391144,-83.564575195,42.406394958,-83.564552307,7.1500000954,0.07914532721,1.5,7.0041599274,243.59494019,0,0,2,-1
1656089671248,44736.704528,1,0670128622,88:6B:0F:A6:E6:2F,0,0,42.406391144,-83.564575195,42.406394958,-83.564552307,7.1500000954,0.12425361574,1.5,6.6192088127,242.95381165,0,0,2,-1
1656089671582,44736.704532,1,0670128622,88:6B:0F:A6:E6:2F,0,0,42.406394958,-83.564575195,42.406394958,-83.564559937,7.1500000954,0.10811887681,1.5,6.4670062065,242.66862488,0,0,2,-1
1656089671916,44736.704536,1,0670128622,88:6B:0F:A6:E6:2F,0,0,42.406394958,-83.564575195,42.406394958,-83.564559937,7.1500000954,0.036163236946,1.5,6.5399017334,242.92448425,0,0,2,-1
1656089672249,44736.70454,1,0670128622,88:6B:0F:A6:E6:2F,0,0,42.406394958,-83.564575195,42.406391144,-83.564559937,7.1500000954,0.11310783029,1.5,7.177793026,243.44326782,0,0,2,-1
1656089672583,44736.704544,1,0670128622,88:6B:0F:A6:E6:2F,0,0,42.406394958,-83.564575195,42.406391144,-83.564559937,7.1500000954,0.3147983551,1.5,7.8876533508,243.76887512,0,0,2,-1
1656089682253,44736.704656,1,0670128622,88:6B:0F:A6:E6:2F,0,0,42.406272888,-83.564430237,42.406364441,-83.564506531,7.1500000954,1.4430004358,1.5,7.061732769,247.33052063,0,0,2,-1
1656089682587,44736.70466,1,0670128622,88:6B:0F:A6:E6:2F,0,0,42.406272888,-83.564430237,42.406360626,-83.564506531,7.1500000954,1.5208934546,1.5,7.8449978828,247.48516846,0,0,2,-1
1656089686916,44736.70471,1,0670128622,88:6B:0F:A6:E6:2F,0,0,42.406238556,-83.56439209,42.406295776,-83.564460754,7.1500000954,0.2293561548,1.5,6.5589299202,246.83827209,0,0,2,-1
1656089687250,44736.704714,1,0670128622,88:6B:0F:A6:E6:2F,0,0,42.406238556,-83.56439209,42.406291962,-83.564460754,7.1500000954,0.17073842883,1.5,5.0395355225,247.65699768,0,0,2,-1
1656089687584,44736.704717,1,0670128622,88:6B:0F:A6:E6:2F,0,0,42.406242371,-83.56439209,42.406288147,-83.564453125,7.1500000954,0.1311789602,1.5,4.3512101173,247.39622498,0,0,2,-1
1656089687919,44736.704721,1,0670128622,88:6B:0F:A6:E6:2F,0,0,42.406242371,-83.56439209,42.406284332,-83.564453125,7.1500000954,0.12564723194,1.5,4.3765816689,247.78739929,0,0,2,-1
1656089692935,44736.704779,1,0670128622,88:6B:0F:A6:E6:2F,0,0,42.406246185,-83.564407349,42.406238556,-83.56439209,7.1500000954,0.14046648145,-1.5,7.7097439766,244.31387329,0,0,2,-1
1656089693249,44736.704783,1,0670128622,88:6B:0F:A6:E6:2F,0,0,42.406246185,-83.564407349,42.406238556,-83.56439209,7.1500000954,0.23140388727,-1.5,7.8070077896,244.44329834,0,0,2,-1
1656089693582,44736.704787,1,0670128622,88:6B:0F:A6:E6:2F,0,0,42.406246185,-83.564407349,42.406238556,-83.56439209,7.1500000954,0.14892427623,-1.5,7.7805767059,244.5231781,0,0,2,-1
1656089693924,44736.704791,1,0670128622,88:6B:0F:A6:E6:2F,0,0,42.406246185,-83.564407349,42.406238556,-83.56439209,7.1500000954,0.59056735039,-1.5,7.6826138496,244.36746216,0,0,2,-1
