,Microsec,Flight_Date,SenseLong,SenseLat,CH4,Peak,Source_Name,points,Utmlong,Utmlat
0,1091000000.0,2022-07-18 16:17:55,-83.5561205,42.4065151,0,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.5561205 42.4065151),289654.4528912029,4698078.090142285
1,1092000000.0,2022-07-18 16:17:56,-83.5561205,42.4065148,0,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.5561205 42.4065148),289654.45188823924,4698078.056828212
2,1093000000.0,2022-07-18 16:17:57,-83.5561211,42.4065138,0,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.5561211 42.4065138),289654.39916745725,4698077.947267879
3,1094000000.0,2022-07-18 16:17:58,-83.5561266,42.4065128,0,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.5561266 42.4065128),289653.9431965031,4698077.849847935
4,1095000000.0,2022-07-18 16:17:59,-83.5561378,42.4065101,0,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.5561378 42.4065101),289653.01245509705,4698077.577770825
5,1096000000.0,2022-07-18 16:18:00,-83.556152,42.406507,2,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.556152 42.406507),289651.8334884315,4698077.26870804
6,1097000000.0,2022-07-18 16:18:01,-83.5561693,42.4065075,5,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.5561693 42.4065075),289650.4114399501,4698077.367095115
7,1098000000.0,2022-07-18 16:18:02,-83.5561843,42.4065106,5,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.5561843 42.4065106),289649.1873647637,4698077.748505763
8,1099000000.0,2022-07-18 16:18:03,-83.5561956,42.4065125,0,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.5561956 42.4065125),289648.2637727492,4698077.98749284
9,1100000000.0,2022-07-18 16:18:04,-83.5562086,42.4065111,0,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.5562086 42.4065111),289647.18924469186,4698077.864237346
10,1101000000.0,2022-07-18 16:18:05,-83.5562148,42.4065085,0,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.5562148 42.4065085),289646.67031709576,4698077.590877212
11,1102000000.0,2022-07-18 16:18:06,-83.5562245,42.4065036,0,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.5562245 42.4065036),289645.8556638892,4698077.070781262
12,1103000000.0,2022-07-18 16:18:07,-83.5562321,42.4064995,0,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.5562321 42.4064995),289645.21650678554,4698076.634319685
13,1104000000.0,2022-07-18 16:18:08,-83.5562383,42.4065061,0,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.5562383 42.4065061),289644.7283379788,4698077.382591277
14,1105000000.0,2022-07-18 16:18:09,-83.5562538,42.4065091,0,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.5562538 42.4065091),289643.46278072277,4698077.7541371165
15,1106000000.0,2022-07-18 16:18:10,-83.5562656,42.4065111,0,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.5562656 42.4065111),289642.49837521545,4698078.005468533
16,1107000000.0,2022-07-18 16:18:11,-83.5562761,42.4065126,2,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.5562761 42.4065126),289641.6392828014,4698078.198055515
17,1108000000.0,2022-07-18 16:18:12,-83.5562938,42.4065091,2,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.5562938 42.4065091),289640.17094237846,4698077.853248146
18,1109000000.0,2022-07-18 16:18:13,-83.556309,42.4065081,3,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.556309 42.4065081),289638.9167003478,4698077.779863834
19,1110000000.0,2022-07-18 16:18:14,-83.5563301,42.4065116,3,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.5563301 42.4065116),289637.1919577918,4698078.2208100315
20,1111000000.0,2022-07-18 16:18:15,-83.5563418,42.4065141,4,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.5563418 42.4065141),289636.2374538651,4698078.527417995
21,1112000000.0,2022-07-18 16:18:16,-83.5563551,42.4065133,0,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.5563551 42.4065133),289635.14024288126,4698078.471535846
22,1113000000.0,2022-07-18 16:18:17,-83.556377,42.4065091,0,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.556377 42.4065091),289633.3239185971,4698078.059404065
23,1114000000.0,2022-07-18 16:18:18,-83.5563961,42.4065078,0,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.5563961 42.4065078),289631.7477191305,4698077.962370686
24,1115000000.0,2022-07-18 16:18:19,-83.556411,42.4065051,0,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.556411 42.4065051),289630.51248161256,4698077.699464757
25,1116000000.0,2022-07-18 16:18:20,-83.5564311,42.4065055,4,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.5564311 42.4065055),289628.85967016994,4698077.793689687
26,1117000000.0,2022-07-18 16:18:21,-83.5564531,42.4065071,4,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.5564531 42.4065071),289627.0545087918,4698078.025879408
27,1118000000.0,2022-07-18 16:18:22,-83.5564673,42.4065065,6,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.5564673 42.4065065),289625.88389992784,4698077.994438244
28,1119000000.0,2022-07-18 16:18:23,-83.5564866,42.4065053,2,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.5564866 42.4065053),289624.291575409,4698077.9090068275
29,1120000000.0,2022-07-18 16:18:24,-83.5565001,42.406506,4,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.5565001 42.406506),289623.1829204807,4698078.020192516
30,1121000000.0,2022-07-18 16:18:25,-83.556509,42.4065035,5,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.556509 42.4065035),289622.44212709926,4698077.764629431
31,1122000000.0,2022-07-18 16:18:26,-83.5565178,42.4064998,5,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.5565178 42.4064998),289621.7055507804,4698077.375562323
32,1123000000.0,2022-07-18 16:18:27,-83.5565295,42.4064955,0,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.5565295 42.4064955),289620.728309794,4698076.927053409
33,1124000000.0,2022-07-18 16:18:28,-83.5565455,42.4064918,0,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.5565455 42.4064918),289619.39920220734,4698076.555828335
34,1125000000.0,2022-07-18 16:18:29,-83.5565668,42.4064898,0,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.5565668 42.4064898),289617.63961018145,4698076.386516966
35,1126000000.0,2022-07-18 16:18:30,-83.5565778,42.4064878,0,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.5565778 42.4064878),289616.72766672046,4698076.191681857
36,1127000000.0,2022-07-18 16:18:31,-83.556595,42.4064848,4,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.556595 42.4064848),289615.30214422604,4698075.901164075
37,1128000000.0,2022-07-18 16:18:32,-83.5566108,42.4064858,13,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.5566108 42.4064858),289614.00521139946,4698076.051364891
38,1129000000.0,2022-07-18 16:18:33,-83.5566193,42.4064855,13,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.5566193 42.4064855),289613.30469231645,4698076.039114726
39,1130000000.0,2022-07-18 16:18:34,-83.5566263,42.4064823,8,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.5566263 42.4064823),289612.7179199829,4698075.7011114005
40,1131000000.0,2022-07-18 16:18:35,-83.5566356,42.406482,0,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.5566356 42.406482),289611.9515640565,4698075.690843863
41,1132000000.0,2022-07-18 16:18:36,-83.5566501,42.4064838,0,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.5566501 42.4064838),289610.7642911386,4698075.926661248
42,1133000000.0,2022-07-18 16:18:37,-83.5566635,42.4064836,0,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.5566635 42.4064836),289609.66085603496,4698075.937659041
43,1134000000.0,2022-07-18 16:18:38,-83.5566761,42.406484,3,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.5566761 42.406484),289608.6252640823,4698076.013302622
44,1135000000.0,2022-07-18 16:18:39,-83.5566898,42.4064828,0,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.5566898 42.4064828),289607.4937962197,4698075.913997291
45,1136000000.0,2022-07-18 16:18:40,-83.5566998,42.4064836,0,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.5566998 42.4064836),289606.67351143993,4698076.027616665
46,1137000000.0,2022-07-18 16:18:41,-83.5567133,42.4064848,0,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.5567133 42.4064848),289605.56652829784,4698076.194328603
47,1138000000.0,2022-07-18 16:18:42,-83.5567295,42.4064848,0,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.5567295 42.4064848),289604.2333332113,4698076.234475607
48,1139000000.0,2022-07-18 16:18:43,-83.5567498,42.4064813,5,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.5567498 42.4064813),289602.5510204296,4698075.89611943
49,1140000000.0,2022-07-18 16:18:44,-83.5567706,42.4064786,4,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.5567706 42.4064786),289600.83023470966,4698075.647840311
50,1141000000.0,2022-07-18 16:18:45,-83.5567886,42.4064786,0,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.5567886 42.4064786),289599.3489066822,4698075.692449108
51,1142000000.0,2022-07-18 16:18:46,-83.556804,42.4064788,0,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.556804 42.4064788),289598.08221707895,4698075.752824046
52,1143000000.0,2022-07-18 16:18:47,-83.5568248,42.4064791,0,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.5568248 42.4064791),289596.3714634891,4698075.837686765
53,1144000000.0,2022-07-18 16:18:48,-83.5568401,42.4064776,0,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.5568401 42.4064776),289595.1073184429,4698075.709034655
54,1145000000.0,2022-07-18 16:18:49,-83.5568581,42.4064733,0,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.5568581 42.4064733),289593.6116104296,4698075.27614293
55,1146000000.0,2022-07-18 16:18:50,-83.5568783,42.4064715,0,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.5568783 42.4064715),289591.9432114853,4698075.1263212
56,1147000000.0,2022-07-18 16:18:51,-83.5568896,42.4064735,0,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.5568896 42.4064735),289591.0199549893,4698075.376420588
57,1148000000.0,2022-07-18 16:18:52,-83.5569066,42.4064768,3,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.5569066 42.4064768),289589.6319588281,4698075.785007898
58,1149000000.0,2022-07-18 16:18:53,-83.5569145,42.4064845,5,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.5569145 42.4064845),289589.0075711172,4698076.659648464
59,1150000000.0,2022-07-18 16:18:54,-83.5569303,42.4064826,5,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.5569303 42.4064826),289587.7009402876,4698076.487818123
60,1151000000.0,2022-07-18 16:18:55,-83.5569395,42.4064821,7,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.5569395 42.4064821),289586.9421449729,4698076.455096104
61,1152000000.0,2022-07-18 16:18:56,-83.5569588,42.4064821,6,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.5569588 42.4064821),289585.3538322131,4698076.502929825
62,1153000000.0,2022-07-18 16:18:57,-83.5569856,42.4064826,11,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.5569856 42.4064826),289583.14997163776,4698076.624875838
63,1154000000.0,2022-07-18 16:18:58,-83.557003,42.40648,16,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.557003 42.40648),289581.7093259301,4698076.379279319
64,1155000000.0,2022-07-18 16:18:59,-83.5570225,42.4064778,17,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.5570225 42.4064778),289580.09719624906,4698076.183306713
65,1156000000.0,2022-07-18 16:19:00,-83.557039,42.4064735,11,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.557039 42.4064735),289578.72493120783,4698075.746700388
66,1157000000.0,2022-07-18 16:19:01,-83.5570483,42.4064743,2,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.5570483 42.4064743),289577.96225385705,4698075.858588183
67,1158000000.0,2022-07-18 16:19:02,-83.5570721,42.406472,0,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.5570721 42.406472),289575.9959165998,4698075.662169499
68,1159000000.0,2022-07-18 16:19:03,-83.557083,42.4064701,2,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.557083 42.4064701),289575.09253557655,4698075.4781966135
69,1160000000.0,2022-07-18 16:19:04,-83.557098,42.406472,5,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.557098 42.406472),289573.8644498919,4698075.726364281
70,1161000000.0,2022-07-18 16:19:05,-83.5571073,42.4064723,4,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.5571073 42.4064723),289573.10010033037,4698075.782729151
71,1162000000.0,2022-07-18 16:19:06,-83.5571206,42.406474,4,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.5571206 42.406474),289572.01124905737,4698076.004474172
72,1163000000.0,2022-07-18 16:19:07,-83.5571295,42.4064721,6,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.5571295 42.4064721),289571.27245996334,4698075.815544584
73,1164000000.0,2022-07-18 16:19:08,-83.5571331,42.4064715,7,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.5571331 42.4064715),289570.9741875985,4698075.757839422
74,1165000000.0,2022-07-18 16:19:09,-83.5571413,42.4064713,0,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.5571413 42.4064713),289570.29869138345,4698075.755954671
75,1166000000.0,2022-07-18 16:19:10,-83.557157,42.4064708,0,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.557157 42.4064708),289569.00497169193,4698075.739345627
76,1167000000.0,2022-07-18 16:19:11,-83.5571718,42.4064725,0,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.5571718 42.4064725),289567.79267648235,4698075.964809259
77,1168000000.0,2022-07-18 16:19:12,-83.5571705,42.406476,0,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.5571705 42.406476),289567.91136734583,4698076.350251232
78,1169000000.0,2022-07-18 16:19:13,-83.5571645,42.4064826,1,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.5571645 42.4064826),289568.42721759964,4698077.068289034
79,1170000000.0,2022-07-18 16:19:14,-83.5571755,42.4064791,7,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.5571755 42.4064791),289567.5102555446,4698076.706889921
80,1171000000.0,2022-07-18 16:19:15,-83.5571838,42.406484,17,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.5571838 42.406484),289566.84358727105,4698077.271592657
81,1172000000.0,2022-07-18 16:19:16,-83.5571951,42.406488,29,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.5571951 42.406488),289565.9270209789,4698077.74378924
82,1173000000.0,2022-07-18 16:19:17,-83.5572055,42.4064901,41,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.5572055 42.4064901),289565.0781663931,4698078.002765989
83,1174000000.0,2022-07-18 16:19:18,-83.55722,42.4064888,38,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.55722 42.4064888),289563.8805265067,4698077.894345956
84,1175000000.0,2022-07-18 16:19:19,-83.5572208,42.4064901,29,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.5572208 42.4064901),289563.8190377618,4698078.040689907
85,1176000000.0,2022-07-18 16:19:20,-83.5572243,42.4064931,37,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.5572243 42.4064931),289563.54103576974,4698078.382506101
86,1177000000.0,2022-07-18 16:19:21,-83.5572381,42.4064961,150,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.5572381 42.4064961),289562.41538519855,4698078.749852987
87,1178000000.0,2022-07-18 16:19:22,-83.5572451,42.4065036,290,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.5572451 42.4065036),289561.86439846293,4698079.600055888
88,1179000000.0,2022-07-18 16:19:23,-83.5572636,42.406507,260,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.5572636 42.406507),289560.35329500027,4698080.023471874
89,1180000000.0,2022-07-18 16:19:24,-83.557276,42.406506,110,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.557276 42.406506),289559.32948028226,4698079.943161364
90,1181000000.0,2022-07-18 16:19:25,-83.5572796,42.406506,20,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.5572796 42.406506),289559.0332147957,4698079.952084865
91,1182000000.0,2022-07-18 16:19:26,-83.5572838,42.4065051,11,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.5572838 42.4065051),289558.684561466,4698079.862553404
92,1183000000.0,2022-07-18 16:19:27,-83.5572811,42.4065035,16,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.5572811 42.4065035),289558.9014090129,4698079.678185695
